hhid,Wave,Site,hours,days,cost,subsidy
212202020,1991,2,,,8,5
212202020,1993,2,,,15,
212202062,2000,2,,,100,
212202065,2000,2,,,,
212202065,2006,2,,,150,
212203005,1993,2,,,75,1
212203019,2006,2,,,,
212203020,2006,2,,,,
212203063,2000,2,,,100,
212203081,2006,2,,,,
212203101,2006,2,,,,
212204002,1993,2,,,8,
212204004,1989,2,3,6,18,
212204004,1993,2,,,40,
212204005,2004,2,,,,
212204011,1993,2,,,10,
212204012,1993,2,,,40,
212204017,2000,2,,,50,
212204019,1993,2,,,5,9
212204020,1993,2,,,,
212204065,2000,2,,,50,
212301004,1989,2,,,,
212301017,1991,2,,,60,40
212302003,1993,2,,,,
212302004,2006,2,,,,
212302005,2000,2,,,150,0
212302009,2006,2,,,,
212302011,2000,2,,,50,
212302015,2006,2,,,500,
212302019,2004,2,,,300,
212302019,2006,2,,,,
212302020,1993,2,,,,
212303004,2004,2,,,20,
212303004,2006,2,,,200,
212303006,2004,2,,,300,
212303016,1993,2,,,250,0
212303017,2000,2,,,,
212303017,2004,2,,,300,
212303020,2000,2,,,70,
212303081,2006,2,,,400,
212303082,2004,2,,,300,
212303082,2006,2,,,400,
212303101,2006,2,,,400,
212304003,1991,2,,,10,
212304005,2004,2,,,30,
212304011,2000,2,,,,
212304012,2006,2,,,,
212304014,2000,2,,,70,
212304020,2006,2,,,150,
212304061,2004,2,,,,16
212304062,2006,2,,,60,
212304063,2000,2,,,60,
212304066,2000,2,,,30,
212305004,2000,2,,,300,
212305004,2004,2,,,,60
212305018,2004,2,,,400,60
212305020,2000,2,,,200,10
212305081,2004,2,,,300,
212401001,1989,2,,,,
212401002,1989,2,24,6,50,15
212401003,1989,2,9,6,30,
212401004,1989,2,8,6,50,30
212401004,1991,2,,,30,
212401005,1989,2,8,6,50,
212401006,1989,2,9,6,40,
212401007,1989,2,8,6,50,30
212401008,1989,2,9,6,40,
212401009,1989,2,24,6,30,1.5
212401010,1989,2,24,6,40,11.5
212401011,1989,2,24,6,50,
212401012,1989,2,9,6,100,
212401013,1989,2,8,6,25,30
212401014,1989,2,9,6,40,
212401014,1993,2,,,,9
212401015,1989,2,,,,
212401016,1989,2,8,6,40,
212401017,1989,2,9,6,40,
212401018,1989,2,9,6,30,30
212401020,1989,2,24,7,50,
212401061,2000,2,,,,
212401067,2000,2,,,100,
212402001,1991,2,,,10,
212402002,1991,2,,,10,
212402003,1991,2,,,10,
212402005,1989,2,,,3,
212402005,1991,2,,,10,
212402006,1989,2,,,5,
212402006,1991,2,,,10,
212402007,1989,2,,,10,
212402007,1991,2,,,20,
212402007,1993,2,,,,
212402008,1989,2,,,,
212402008,1991,2,,,10,
212402009,1989,2,,,25,
212402009,1991,2,,,10,
212402012,1989,2,,,10,
212402013,1989,2,,,15,
212402013,1991,2,,,10,
212402014,1989,2,,,,
212402015,1989,2,,,,
212402015,1991,2,,,10,
212402016,1989,2,,,,
212402016,1991,2,,,10,
212402016,2000,2,,,20,
212402017,1991,2,,,10,
212402019,1989,2,,,15,
212402019,1993,2,,,10,
212402019,2000,2,,,30,
212402019,2004,2,,,55,
212402020,1989,2,,,,
212403003,2000,2,,,10,
212403004,2006,2,,,60,
212403005,1993,2,,,,
212403005,2000,2,,,90,
212403008,1989,2,,,50,
212403008,1993,2,,,,
212403012,2006,2,,,100,
212403015,2000,2,,,40,
212403017,2000,2,,,20,
212403018,2000,2,,,200,
212403020,1989,2,8,6,10,
212403063,2000,2,,,150,
212403064,2000,2,,,,0
212403083,2004,2,,,60,
212403102,2006,2,,,60,
212404001,1989,2,,,,
212404002,1989,2,0,0,,
212404003,1989,2,,,,
212404004,1989,2,,,,
212404005,1989,2,,,,
212404006,1989,2,,,,
212404007,1989,2,,0,,
212404007,2006,2,,,150,
212404008,1989,2,,0,,
212404009,1989,2,,0,,
212404010,1989,2,,6,25,
212404010,1993,2,,,,
212404011,1989,2,,0,,
212404012,1989,2,,0,,
212404012,2000,2,,,200,
212404013,1989,2,,0,,
212404014,1989,2,,0,,
212404015,1989,2,,0,,
212404016,1989,2,,6,20,
212404016,1991,2,,,20,
212404016,1993,2,,,,
212404017,1989,2,,,50,20
212404017,1991,2,,,20,
212404018,1989,2,,6,30,
212404019,1989,2,8,6,20,
212404020,1989,2,8,,20,
231101002,2004,1,,,999,
231101002,2006,1,,,500,
231101005,2000,1,,,200,
231101007,1997,1,,,100,
231101007,2000,1,,,400,
