hhid,Wave,Site,hours,days,cost,subsidy
322404020,1993,2,,,22,
322404042,2000,2,,,60,
371101001,1989,1,,,,
371101003,1989,1,,,,
371101003,1991,1,,,7,7
371101004,1989,1,,,,
371101012,1989,1,,,,
371101012,1991,1,,,20,
371101013,1989,1,,,,
371101017,1989,1,,0,,30
371101019,1989,1,8,6,50,13
371101019,1991,1,,,50,7
371102001,1989,1,,,,
371102001,1991,1,,,60,0
371102003,1989,1,,,,5
371102009,1989,1,,,45,
371102009,1991,1,,,20,
371102009,1993,1,,,43,8
371102011,1989,1,,0,,
371102011,1991,1,,,31,0
371102014,1989,1,8,6,12,12
371102020,1989,1,24,7,51,
371102020,1991,1,,,15,6
371102067,2006,1,,,550,
371103003,1989,1,,,,
371103003,1991,1,,,80,14
371103004,1989,1,8,0,,
371103004,1991,1,,,50,
371103006,1993,1,,,40,4
371103008,1989,1,3,6,0,
371103008,1991,1,,,60,14
371103009,1989,1,4,6,0,
371103009,1991,1,,,50,12
371103010,2000,1,,,100,
371103010,2004,1,,,,
371103010,2006,1,,,120,
371103020,1989,1,8,6,0,
371103020,1991,1,,,60,0
371103020,1993,1,,,200,0
371103042,1997,1,,,300,0
371103062,2000,1,,,400,30
371103087,2006,1,,,200,15
371104001,1989,1,,,,
371104004,1989,1,,,,
371104004,1993,1,,,120,9
371104005,1989,1,,,,
371104005,1991,1,,,100,
371104008,1997,1,,,150,70
371104010,1989,1,5,3,0,
371104010,1991,1,,,15,12
371104013,1993,1,,,60,
371104018,1989,1,8,7,0,
371104018,1993,1,,,50,
371105004,2000,1,,,100,
371105004,2004,1,,,150,
371105008,1997,1,,,200,
371105016,2006,1,,,,
371105102,2006,1,,,,
371108004,2000,1,,,200,
371108005,2006,1,,,,
371108101,2006,1,,,100,
371201006,1989,1,,,,
371201017,1989,1,,,,
371201018,1989,1,,,30,5
371201018,1991,1,,,50,
371201046,1997,1,,,,
371201064,2004,1,,,500,
371201082,2004,1,,,80,
371201084,2004,1,,,,
371202001,1989,1,,0,50,5
371202001,1991,1,,,32,0
371202001,1993,1,,,120,0
371202002,1989,1,5,6,3,
371202004,1989,1,,,,
371202005,1989,1,,,30,
371202007,1989,1,6,7,40,
371202007,1991,1,,,2,0
371202015,1997,1,,,200,0
371202041,1997,1,,,50,
371202041,2000,1,,,30,
371202047,1997,1,,,30,
371202048,1997,1,,,80,
371202049,1997,1,,,160,20
371202082,2004,1,,,,
371202082,2006,1,,,240,
371202083,2004,1,,,200,
371202102,2006,1,,,200,
371203006,1991,1,,,15,
371203011,1989,1,,,40,
371203016,1989,1,,0,5,
371203017,1989,1,,0,10,
371203020,1989,1,,0,10,
371203041,2006,1,,,100,
371203042,1997,1,,,500,
371203042,2000,1,,,260,65
371203058,2006,1,,,100,
371203081,2004,1,,,200,
371203081,2006,1,,,,
371203082,2006,1,,,300,
371203102,2006,1,,,100,
371204002,1989,1,,,,
371204002,1991,1,,,75,
371204002,1993,1,,,20,0
371204005,1997,1,,,12,
371204007,1989,1,6,6,20,
371204009,1989,1,12,7,60,
371204012,1989,1,,,,
371204045,2000,1,,,200,0
371204102,2006,1,,,,10
372101001,1991,2,,,30,
372101001,1993,2,,,,9
372101004,1989,2,,,,
372101004,1997,2,,,,
372101004,2000,2,,,200,
372101005,1991,2,,,40,0
372101006,1989,2,,0,30,
372101008,1989,2,0,0,30,
372101010,1989,2,,,,
372101011,1989,2,,0,60,
372101011,1991,2,,,20,0
372101012,1989,2,,,,
372101014,1989,2,,,30,5
372101014,1991,2,,,20,
372101017,1989,2,,0,15,
372101017,1993,2,,,30,
372101017,2004,2,,,200,
372101018,1989,2,,,40,
372101019,1989,2,,,30,
372102001,1989,2,,0,0,
372102002,1989,2,,,,
372102003,1989,2,,0,0,
372102004,1989,2,,,,
372102009,1991,2,,,5,
372102011,1989,2,,,40,
372102012,2004,2,,,,5
372102018,1989,2,,0,30,
372102018,1993,2,,,30,0
372102020,1993,2,,,70,0
372102081,2004,2,,,,
372103001,1989,2,,,,
372103003,1989,2,,,,
372103004,1989,2,,,,
372103006,1989,2,1,6,5,
372103008,1989,2,12,7,0,
372103009,2000,2,,,,
372103010,2000,2,,,,
372103017,1989,2,,,10,
372103017,2000,2,,,10,
372103018,1989,2,6,2,10,
372103019,1989,2,2,1,20,
372103020,1989,2,24,5,20,
372104001,1989,2,,0,20,
372104001,1991,2,,,15,0
372104004,1997,2,,,0,
372104008,1989,2,,0,20,
372104008,1991,2,,,30,
372104009,1989,2,,,,
372104009,1991,2,,,40,
372104011,2004,2,,,30,
372104012,2004,2,,,30,
372104013,1991,2,,,9,
372104014,1989,2,,,40,
372104015,1989,2,,,23,
372104017,1989,2,,,30,
372104018,1989,2,,,50,
372104019,1989,2,,,30,
372104020,1989,2,,,30,
372104101,2006,2,,,30,
372201003,2000,2,,,120,
372201004,1989,2,,,,
372201006,1997,2,,,,
372201006,2000,2,,,,
372201008,1989,2,,0,20,
372201009,1989,2,,0,,
372201010,1989,2,,0,,
372201011,2004,2,,,,
372201012,1989,2,,,,
372201013,1989,2,,,,
372201013,1997,2,,,100,0
372201014,1989,2,,,,
372201016,1989,2,,,,
372201017,1989,2,,,,
372201018,1989,2,,,,
372201019,1989,2,,,,
372201020,1989,2,,0,,
372201081,2004,2,,,,
372201081,2006,2,,,,
372201082,2004,2,,,,
372202001,2000,2,,,,
372202003,1989,2,,,,
372202007,2006,2,,,,
372202008,2006,2,,,,
372202012,1989,2,,0,0,
372202014,1989,2,,0,0,
372202015,1989,2,,0,,
372202016,1989,2,,,20,
372202018,2000,2,,,,
372202019,2000,2,,,,
372203002,1989,2,,,,
372203004,1989,2,,,,
372203009,2000,2,,,,
372203013,2000,2,,,,
372203015,1989,2,,0,5,
372203016,1989,2,,,20,
372203017,2000,2,,,,
372203019,1989,2,,,45,
372204003,2006,2,,,,
372204004,1997,2,,,99,
372204004,2000,2,,,,
372204005,2006,2,,,,
372204006,2006,2,,,,
372204016,1989,2,,,30,
372204019,2006,2,,,,
372204020,2006,2,,,,
372301001,1989,2,,,,
372301001,1993,2,,,140,9
372301002,1989,2,,,,
372301003,1997,2,,,50,
372301003,2006,2,,,70,
372301007,1989,2,,,,
372301007,1991,2,,,10,
372301009,1989,2,24,7,0,
372301009,1991,2,,,40,
372301010,1993,2,,,26,
372301011,1993,2,,,100,
372301013,2000,2,,,30,
372301014,1993,2,,,,
372301015,1991,2,,,30,
372301015,1993,2,,,80,0
372301016,1997,2,,,100,
372301018,1989,2,24,7,0,0
372301018,1991,2,,,0,
372301020,1989,2,8,7,0,
372301061,2000,2,,,,
372302001,1989,2,,,,
372302001,1993,2,,,50,
372302003,1997,2,,,100,
372302003,2006,2,,,100,
372302005,1989,2,,,,
372302006,1993,2,,,,
372302007,1989,2,,,40,
372302009,1989,2,12,7,5,
372302009,1993,2,,,,
372302011,2004,2,,,50,
372302012,1989,2,,,3,
372302012,2004,2,,,,
372302013,2004,2,,,50,
372302015,1997,2,,,,
372302016,1997,2,,,6,
372302019,1993,2,,,30,0
372302020,1993,2,,,,0
372302042,1997,2,,,60,0
372302043,2006,2,,,150,
372302103,2006,2,,,100,
372303002,1989,2,,,,
372303004,1989,2,,,,
372303005,1989,2,,,,
372303005,1993,2,,,35,
372303006,1997,2,,,30,
372303006,2000,2,,,40,
372303012,1997,2,,,50,
372303013,1989,2,,,,
372303016,1989,2,8,6,2,
372303018,2006,2,,,100,
372303019,1989,2,8,6,2,
372303042,1997,2,,,16,
372303042,2006,2,,,200,
372303081,2004,2,,,165,
372303081,2006,2,,,100,
372303101,2006,2,,,67,
372304010,1997,2,,,60,
372304010,2000,2,,,30,
372304012,1989,2,24,6,,
372304012,1991,2,,,30,
372304012,1993,2,,,8,
372304014,1989,2,24,6,0,
372304014,1991,2,,,12,
372304016,1989,2,,,,
372304031,2004,2,,,100,
372304041,2004,2,,,60,
372304044,1997,2,,,,
372401001,1989,2,,,,
372401002,1989,2,12,7,30,
372401002,1991,2,,,5,15
372401002,1993,2,,,,
372401003,1989,2,24,7,0,
372401003,1991,2,,,5,15
372401003,1993,2,,,,
372401005,1989,2,,,0,30
372401006,1989,2,,,60,
372401007,1989,2,,,80,
372401008,1989,2,14,7,0,
372401008,1991,2,,,5,15
372401008,1993,2,,,,0
372401009,1989,2,,,27,
372401010,1989,2,24,7,30,
372401010,1991,2,,,20,10
372401013,1989,2,7,7,30,20
372401013,1991,2,,,60,20
372401016,1991,2,,,80,
372401016,1993,2,,,80,4
372401017,1989,2,8,4,0,
372401017,1991,2,,,90,
372401017,1993,2,,,,4
372401018,1989,2,24,7,0,
372401019,1989,2,24,7,5,
372401019,1991,2,,,100,
372401019,1993,2,,,,4
372401020,1989,2,,,10,
372402006,1989,2,1,1,0,
372402006,1991,2,,,30,
372402009,1989,2,1,2,0,
372402010,2006,2,,,100,
372402014,1989,2,8,7,0,
372402014,1991,2,,,30,0
372402017,1989,2,,,,
372402018,1989,2,,,20,
372402018,1991,2,,,40,
372402020,1989,2,12,6,32,
372402020,1991,2,,,18,
372402020,1997,2,,,15,
372403001,1989,2,,0,0,
372403001,1997,2,,,30,
372403001,2000,2,,,35,0
372403003,1989,2,2,4,23,
372403003,1991,2,,,40,
372403004,1989,2,,,,
372403005,1989,2,,,,
372403005,1991,2,,,60,
372403006,1989,2,20,7,20,0
372403006,1991,2,,,60,
372403007,1989,2,,0,15,
372403010,1989,2,1,1,20,
372403010,1991,2,,,150,
372403012,1989,2,,,,
372403013,1989,2,6,6,,
372403014,1989,2,,,15,
372403015,1989,2,,,0,
372403016,1989,2,6,6,1,
372403016,1993,2,,,20,9
372403019,1989,2,8,6,50,
372403020,1989,2,6,6,,
372403043,1997,2,,,30,
372403043,2000,2,,,12,0
372403045,2000,2,,,12,
372404001,1989,2,6,,,
372404001,1991,2,,,20,
372404001,1993,2,,,,
372404002,1989,2,3,4,4,
372404002,1991,2,,,15,
372404002,1997,2,,,50,
372404002,2000,2,,,,
372404003,1993,2,,,,
372404003,1997,2,,,,
372404005,1991,2,,,20,
372404005,1993,2,,,,
372404011,1989,2,,,,
372404011,1991,2,,,10,
372404014,1989,2,,,5,
372404016,1989,2,1,0,,
372404016,1991,2,,,10,
372404017,1989,2,8,7,4,
372404018,1989,2,7,7,,
372404019,1989,2,7,7,,
372404041,2000,2,,,100,
411101001,1989,1,8,6,0,
411101002,1989,1,7,6,5,
411101004,1989,1,6,6,50,
411101011,1989,1,,,,2
411101018,1989,1,10,6,3,3
411101019,1989,1,24,,,
411101019,1991,1,,,50,
411101019,1993,1,,,53,
411101092,2004,1,,,450,
411102001,1989,1,,,,
411102002,1989,1,,,,
411102003,1989,1,,,,
411102004,1989,1,1,1,,
411102004,1991,1,,,40,0
411102006,1989,1,12,6,60,5
411102006,1991,1,,,100,
411102007,1989,1,,,60,5
411102007,1997,1,,,200,
411102008,1989,1,,,12,5
411102009,1989,1,,,50,
411102010,1989,1,,,,
411102011,1989,1,,,,10
411102013,1989,1,,,,6
411102013,1991,1,,,42,9
411102014,1989,1,9,6,15,
411102017,1989,1,10,7,70,
411102017,1991,1,,,100,30
411102017,1993,1,,,75,
411102018,1989,1,,1,40,
411102018,1991,1,,,100,12
411102019,1989,1,,,80,
411102019,1991,1,,,50,19
411102020,1989,1,,,,6
411102020,1991,1,,,110,
411102042,1997,1,,,140,
411102081,2006,1,,,400,
411103003,1989,1,,,5,
411103003,1993,1,,,,
411103004,1989,1,,,60,
411103005,1997,1,,,70,
411103005,2004,1,,,100,
411103006,2000,1,,,100,0
411103008,1989,1,2,2,0,
411103012,1989,1,,,10,
411103012,1993,1,,,,
411103013,1989,1,,,,
411103015,2000,1,,,,
411103015,2004,1,,,180,
411103016,2006,1,,,,
411103018,1989,1,,,30,
411103018,1991,1,,,15,
411103019,1989,1,,,30,
411103041,2004,1,,,50,
411103043,2000,1,,,30,
411103101,2006,1,,,,
411104006,2000,1,,,,
411104010,1989,1,,,,
411104011,1989,1,1,0,40,
411104012,1989,1,,,,
411104012,1997,1,,,6,
411104019,1989,1,,0,50,
411104020,1989,1,4,6,15,
411104043,2000,1,,,120,
411108016,2004,1,,,400,
411108018,2004,1,,,,
411201002,1989,1,10,6,5,
411201002,1991,1,,,30,
411201003,1989,1,,0,10,
411201004,1989,1,,,50,
411201005,1989,1,9,6,80,
411201005,1991,1,,,50,30
411201006,1989,1,4,2,15,
411201006,1991,1,,,40,
411201008,1991,1,,,0,
411201008,2004,1,,,,
411201010,1989,1,7,6,80,5
411201010,1993,1,,,1,9
411201011,1989,1,7,6,90,20
411201011,1991,1,,,13,
411201012,1997,1,,,200,
411201012,2000,1,,,140,
411201013,1997,1,,,100,
411201013,2000,1,,,,
411201013,2004,1,,,150,
411201014,1993,1,,,100,5
411201017,1989,1,10,6,50,
411201017,1991,1,,,45,
411201019,1989,1,,0,35,
411201020,1989,1,,0,15,
411201020,1991,1,,,40,0
411201042,2000,1,,,,
411201042,2004,1,,,60,
411201085,2004,1,,,200,
411201087,2004,1,,,150,
411202001,1997,1,,,20,0
411202001,2000,1,,,100,5
411202002,1989,1,8,6,10,
411202002,1991,1,,,10,
411202002,1993,1,,,0,
411202004,1989,1,,,10,
411202004,1997,1,,,20,
411202005,1989,1,,,0,
411202005,1991,1,,,11,0
411202005,1993,1,,,30,
411202006,2004,1,,,100,
411202008,1989,1,2,1,30,
411202008,1991,1,,,60,0
411202009,2004,1,,,200,
411202009,2006,1,,,200,
411202012,1989,1,,0,0,
411202012,1991,1,,,10,
411202012,2004,1,,,200,
411202013,1989,1,,,10,2.5
411202013,1991,1,,,60,
411202017,1997,1,,,,
411202017,2000,1,,,200,
411202018,1997,1,,,150,0
411202018,2000,1,,,100,
411202020,1993,1,,,0,
411202020,1997,1,,,,0
411202043,2006,1,,,,
411202061,2004,1,,,50,
411202062,2004,1,,,,
411202083,2004,1,,,70,
411202083,2006,1,,,200,
411202085,2004,1,,,,
411202086,2004,1,,,50,
411202087,2004,1,,,100,
411203005,2006,1,,,50,
411203007,1989,1,,2,10,
411203008,2006,1,,,30,
411203012,1989,1,24,7,0,
411203013,1989,1,,0,0,
411203014,1989,1,,,0,
411203015,1989,1,,,0,
411203041,2004,1,,,100,
411203081,2004,1,,,120,
411204002,1991,1,,,10,
411204003,2000,1,,,,
411204003,2004,1,,,,
411204004,1989,1,,,45,
411204005,2004,1,,,10,
411204006,1989,1,,,0,
411204007,1989,1,2,7,10,
411204010,2004,1,,,50,
411204011,1991,1,,,10,
411204011,2004,1,,,300,
411204011,2006,1,,,10,
411204015,1991,1,,,10,
411204042,1997,1,,,16,
412101004,1989,2,,,,
412101005,1993,2,,,8,
412101007,1993,2,,,,
412101010,1989,2,,,,
412101011,2004,2,,,,
412101013,2006,2,,,50,
412101014,1989,2,,,,
412101014,1993,2,,,,
412101015,1989,2,,,,
412101017,2004,2,,,,
412101018,2004,2,,,130,
412101019,2006,2,,,200,
412101020,1989,2,,,,
412101041,1997,2,,,100,
412101042,2006,2,,,170,
412101044,2006,2,,,200,
412101049,2004,2,,,200,
412101049,2006,2,,,10,
412101051,2004,2,,,120,
412101052,2004,2,,,70,
412102003,1991,2,,,3,
412102004,2004,2,,,10,
412102004,2006,2,,,10,
412102007,2004,2,,,20,
412102008,2004,2,,,,
412102009,1989,2,,0,0,
412102010,1989,2,,,,
412102011,1989,2,,,,
412102015,1989,2,,,,
412102016,1993,2,,,2,
412102018,1993,2,,,2,
412102020,1993,2,,,2,
412102063,2000,2,,,6,
412102063,2004,2,,,,
412103001,2006,2,,,50,
412103003,2000,2,,,60,0
412103005,2004,2,,,,
412103006,2004,2,,,30,
412103006,2006,2,,,150,
412103008,2004,2,,,60,
412103008,2006,2,,,30,
412103010,2000,2,,,20,
412103010,2004,2,,,20,
412103011,2000,2,,,10,
412103011,2004,2,,,20,
412103012,1991,2,,,2,
412103013,2004,2,,,20,
412103014,2000,2,,,10,
412103014,2004,2,,,200,
412103015,2000,2,,,30,
412103015,2004,2,,,30,
412103015,2006,2,,,100,
412103018,2000,2,,,20,
412103019,2006,2,,,40,
412103041,2004,2,,,60,
412103041,2006,2,,,50,
412103101,2006,2,,,30,
412104001,1989,2,,,,
412104002,2000,2,,,1,
412104005,2000,2,,,1,
412104005,2004,2,,,200,
412104005,2006,2,,,,
412104006,2006,2,,,,
412104008,1989,2,,,,
412104010,2000,2,,,50,
412104010,2004,2,,,20,
412104012,2000,2,,,,
412104016,1997,2,,,20,
412104017,1997,2,,,9,
412104020,1989,2,,,,
412104041,2000,2,,,30,
412104083,2004,2,,,20,
412201001,1989,2,12,7,0,
412201004,1989,2,,,,
412201004,1993,2,,,8,
412201007,2000,2,,,30,
412201008,1989,2,,,,
412201009,1993,2,,,20,
412201009,2000,2,,,10,
412201010,2000,2,,,20,
412201013,1989,2,,,,
412201015,1993,2,,,,0
412201016,2000,2,,,60,
412201017,1991,2,,,30,
412201017,1993,2,,,7,
412201020,1989,2,10,6,15,
412202004,1997,2,,,,
412202006,1997,2,,,,
412202007,1993,2,,,7,
412202013,1989,2,6,5,0,
412202014,1989,2,2,7,30,
412202015,1993,2,,,13,0
412202017,1989,2,,0,15,
412202020,2004,2,,,30,
412202031,1997,2,,,,
412202041,1997,2,,,30,
412202041,2000,2,,,,
412203001,1989,2,6,7,0,
412203005,1989,2,1,5,0,
412203006,1993,2,,,15,
412203011,1989,2,9,6,0,
412203011,1991,2,,,2,
412203016,1989,2,1,1,0,
412203019,2004,2,,,500,
412203019,2006,2,,,25,
412203047,2000,2,,,,
412203047,2004,2,,,,
412203063,2000,2,,,100,
412203064,2000,2,,,10,
412203082,2004,2,,,70,
412203082,2006,2,,,30,
412203088,2004,2,,,,
412203101,2006,2,,,30,
412204001,1997,2,,,,
412204002,1989,2,,,,
412204003,1989,2,,,,
412204005,1991,2,,,5,
412204011,1989,2,2,3,0,
412204012,1989,2,8,5,0,
412204014,2000,2,,,10,
412204018,2004,2,,,180,
412204018,2006,2,,,100,
412204019,1993,2,,,3,
412204020,1993,2,,,,
412204031,1993,2,,,10,
412204061,2000,2,,,20,
412204081,2004,2,,,70,
412204081,2006,2,,,20,
412301001,2000,2,,,30,
412301002,1989,2,2,2,1,
412301004,1993,2,,,,
412301006,1989,2,24,7,,
412301011,2004,2,,,50,
412301016,1989,2,,,30,
412301101,2006,2,,,60,
412302004,2000,2,,,,
412302005,1989,2,,,,
412302005,2006,2,,,,
412302007,1989,2,,,15,
412302008,1989,2,,,30,
412302008,2004,2,,,20,
412302013,2004,2,,,60,
412302015,2000,2,,,,
412302015,2004,2,,,30,
412302016,2000,2,,,,
412302016,2004,2,,,20,
412302020,1989,2,,,0,
412303001,2000,2,,,10,
412303001,2004,2,,,30,
412303002,2006,2,,,300,
412303005,1989,2,1,2,15,
412303013,2000,2,,,,
412303014,1989,2,2,2,10,
412303014,2000,2,,,,
412303014,2004,2,,,100,
412303017,2000,2,,,,
412303018,1989,2,3,,18,
412303018,2000,2,,,20,
412303019,2000,2,,,,
412303020,1989,2,,,17,
412303061,2000,2,,,15,
412304005,1989,2,3,,5,
412304011,1991,2,,,62,
412304013,1989,2,5,7,,
412304015,2000,2,,,20,
412304016,1989,2,,,,
412304017,2000,2,,,,
412304017,2006,2,,,15,
412304020,1989,2,,,,
412304061,2000,2,,,30,
412304082,2006,2,,,,
412401001,1989,2,7,6,15,
412401002,1989,2,7,6,15,
412401003,2006,2,,,200,
412401004,1989,2,7,6,15,
412401006,1993,2,,,,
412401007,1997,2,,,50,
412401007,2000,2,,,,
412401007,2004,2,,,200,
412401008,2006,2,,,100,
412401011,1989,2,,,,
412401011,1993,2,,,15,
412401012,1993,2,,,45,
412401012,2006,2,,,20,
412401013,1989,2,7,6,20,
412401015,2004,2,,,260,
412401016,1989,2,,,,
412401017,1989,2,,,,
412401018,1989,2,,,,
412401018,2006,2,,,50,
412401019,2006,2,,,100,
412401032,1993,2,,,,
412401032,1997,2,,,20,
412401032,2000,2,,,240,
412401061,2000,2,,,,
412401061,2006,2,,,60,
412402001,1989,2,7,7,0,
412402003,1989,2,6,2,0,
412402004,2004,2,,,20,
412402007,1989,2,,,,
412402008,1989,2,,0,,
412402009,1989,2,2,2,,
412402010,2000,2,,,30,
412402014,1989,2,4,6,20,
412402017,2006,2,,,,
412402019,2006,2,,,100,
412402031,2000,2,,,30,
412402081,2006,2,,,150,
412402082,2006,2,,,200,
412402083,2006,2,,,150,
412403001,2000,2,,,30,0
412403004,2006,2,,,60,
412403007,1997,2,,,20,
412403008,1997,2,,,20,
412403009,2004,2,,,160,
412403009,2006,2,,,30,
412403010,2006,2,,,100,
412403012,2006,2,,,50,
412403013,2000,2,,,15,0
412403015,1989,2,6,7,20,
412403015,2006,2,,,30,
412403017,2000,2,,,10,
412403018,2000,2,,,10,
412403018,2004,2,,,70,
412403018,2006,2,,,100,
412403019,2006,2,,,50,
412403020,1989,2,6,2,0,
412404001,1993,2,,,10,
412404008,1989,2,,,,
412404008,2000,2,,,5,0
412404008,2006,2,,,60,
412404010,2004,2,,,50,
412404015,1997,2,,,0,
412404015,2000,2,,,50,0
412404015,2006,2,,,60,
412404018,2006,2,,,10,
412404019,2000,2,,,5,0
412404032,2004,2,,,60,
412404032,2006,2,,,100,
412404042,1997,2,,,15,
421101009,1989,1,8,6,20,
421101010,2004,1,,,100,
421101013,1989,1,8,6,30,
421101013,1991,1,,,16,
421101014,1989,1,9,6,25,1
421101014,1991,1,,,5,0
421101015,2004,1,,,120,
421101016,1989,1,7,6,35,1
421101016,1997,1,,,100,
421101016,2000,1,,,,0
421101017,1989,1,8,6,20,
421101018,2000,1,,,200,
421101041,1997,1,,,400,
421101041,2000,1,,,400,15
421101042,1997,1,,,,
421101042,2000,1,,,120,
421102003,2006,1,,,50,
421102006,1989,1,,,20,20
421102009,1989,1,8,6,20,
421102010,1989,1,8,6,30,
421102017,1989,1,8,6,50,25
421102042,2006,1,,,200,
421103001,1997,1,,,,
421103001,2000,1,,,,
421103002,1989,1,10,7,15,
421103006,1989,1,,,0,
421103007,2000,1,,,,
421103009,1989,1,,,,
421103010,2000,1,,,,
421103011,1997,1,,,,
421103011,2000,1,,,,
421103011,2006,1,,,50,
421103014,1989,1,,,0,
421103014,1991,1,,,30,
421103014,1993,1,,,,
421103015,2004,1,,,100,
421103016,1989,1,,,,
421103016,1991,1,,,60,0
421103017,2004,1,,,100,
421103017,2006,1,,,100,
421103018,1989,1,,,0,
421103018,1997,1,,,40,
421103018,2000,1,,,100,
421104001,1989,1,,,15,
421104001,1991,1,,,60,
421104002,1989,1,,5,60,
421104003,1989,1,,,30,
421104004,1989,1,,,30,
421104006,1991,1,,,30,7
421104006,1993,1,,,30,
421104007,1989,1,,,15,
421104007,1993,1,,,0,
421104007,1997,1,,,120,
421104008,1989,1,,,15,
421104008,1993,1,,,25,
421104009,1989,1,,,,
421104012,1989,1,,,0,
421104012,1993,1,,,,
421104013,1989,1,,,30,
421104013,1993,1,,,36,
421104014,1989,1,,,,
421104015,1989,1,,,0,
421104015,1993,1,,,40,
421104016,2004,1,,,200,
421104016,2006,1,,,,
421104017,1989,1,8,6,30,
421104017,1991,1,,,25,0
421104018,1989,1,,,20,
421104020,1989,1,3,7,100,
421104020,1993,1,,,28,
421104041,2004,1,,,300,
421104041,2006,1,,,200,
421201002,1993,1,,,27,
421201007,2000,1,,,150,
421201007,2004,1,,,200,
421201007,2006,1,,,500,
421201009,1989,1,8,6,60,3.3
421201011,1989,1,6,5,50,3.3
421201011,1993,1,,,400,
421201012,2006,1,,,600,
421201013,1989,1,8,6,70,3.3
421201013,1993,1,,,200,
421201013,2004,1,,,200,
421201013,2006,1,,,500,
421201015,1989,1,12,2,90,3
421201017,1989,1,8,6,40,3.3
421202002,1991,1,,,30,20
421202003,1993,1,,,70,40
421202004,2004,1,,,100,
421202004,2006,1,,,10,
421202006,1993,1,,,50,2
421202012,1989,1,,,30,
421202012,1991,1,,,35,10
421202012,1993,1,,,25,9
421202013,1993,1,,,80,30
421202015,1989,1,8,6,20,0
421202015,1991,1,,,20,
421202016,1997,1,,,96,25
421202017,2004,1,,,50,
421202018,1989,1,6,6,50,
421202018,1991,1,,,15,5
421202018,2004,1,,,5,
421202020,1989,1,,,20,
421202020,1993,1,,,,20
421203001,2006,1,,,10,
421203002,1989,1,24,7,40,
421203002,2004,1,,,180,
421203004,1989,1,1,5,0,
421203006,1989,1,,,20,
421203011,1989,1,2,7,20,
421203012,2006,1,,,400,
421203013,1989,1,,,,
421203014,2006,1,,,240,
421203016,2006,1,,,150,
421203044,1997,1,,,100,
421203101,2006,1,,,300,
421204002,1989,1,6,6,40,0
421204002,1991,1,,,10,
421204003,1989,1,,0,20,0
421204007,1989,1,6,6,5,
421204009,1989,1,2,7,50,
421204011,1989,1,6,6,40,
421204014,1989,1,7,7,0,
421204017,1989,1,6,6,20,
421204018,1989,1,,,,
421204019,1989,1,6,6,20,
421204061,2000,1,,,60,
422101002,1989,2,,,,
422101002,1997,2,,,30,
422101004,2004,2,,,50,
422101006,1989,2,8,6,25,
422101008,1989,2,,,,
422101008,1993,2,,,,
422101010,1989,2,,,,
422101010,1991,2,,,40,
422101010,1993,2,,,30,
422101011,1997,2,,,20,
422101011,2000,2,,,,0
422101015,1997,2,,,150,
422101017,1989,2,,,0,
422101017,1991,2,,,100,
422101019,1989,2,,,0,
422101019,1993,2,,,20,
422102002,1993,2,,,,
422102002,1997,2,,,6,
422102004,1989,2,,,,
422102004,1993,2,,,10,
422102004,1997,2,,,,0
422102005,1989,2,,,0,
422102005,1993,2,,,40,
422102006,1989,2,,7,0,
422102006,1991,2,,,20,
422102006,1993,2,,,,
422102007,1989,2,20,7,,
422102007,1993,2,,,40,
422102009,1989,2,2,7,0,
422102010,2000,2,,,,
422102011,1993,2,,,15,
422102011,2000,2,,,,
422102012,2000,2,,,,
422102014,1993,2,,,10,
422102015,1989,2,,,,
422102015,1993,2,,,10,
422102016,1993,2,,,10,
422102018,1989,2,,,5,
422102018,1991,2,,,10,
422102019,1989,2,,,0,
422102019,1993,2,,,20,
422102019,1997,2,,,80,
422102020,1989,2,,,15,
422102020,1991,2,,,15,
422102042,2000,2,,,,
422103001,1997,2,,,90,
422103003,1989,2,8,6,30,
422103005,1997,2,,,20,
422103006,1989,2,12,7,15,
422103006,1991,2,,,6,
422103008,1989,2,,,0,
422103008,1991,2,,,15,
422103009,1997,2,,,90,
422103010,1989,2,10,6,50,
422103010,1991,2,,,30,
422103011,1989,2,,,,
422103011,1991,2,,,10,
422103011,1997,2,,,50,
422103012,1989,2,4,6,0,
422103012,1991,2,,,25,
422103012,1993,2,,,40,
422103013,1989,2,9,6,50,
422103014,1993,2,,,40,
422103014,1997,2,,,100,
422103014,2000,2,,,30,
422103017,1989,2,,,,
422103018,1989,2,8,6,0,
422103019,1989,2,,,50,
422103020,1989,2,8,6,0,
422104001,1989,2,,,,
422104002,1989,2,,,,
422104005,1989,2,,,,
422104006,1989,2,20,7,0,
422104008,1989,2,7,6,5,
422104009,1989,2,,,,
422104010,1997,2,,,100,
422104012,1997,2,,,10,
422104014,1989,2,,,,
422104014,1997,2,,,20,
422104015,1989,2,,,,
422104016,1997,2,,,120,
422104017,1989,2,,,,
422104018,1997,2,,,120,
422104019,1989,2,,,,
422201001,1997,2,,,40,
422201001,2000,2,,,,
422201002,1989,2,,,0,
422201002,1991,2,,,10,
422201004,1993,2,,,,
422201007,1989,2,,,,
422201007,1991,2,,,12,
422201008,1989,2,10,0,25,
422201008,1991,2,,,12,0
422201009,1989,2,,,20,
422201009,1991,2,,,12,
422201009,1993,2,,,20,
422201010,1989,2,8,7,0,
422201010,1991,2,,,12,
422201011,1989,2,10,6,25,
422201011,2004,2,,,,
422201012,1989,2,,,0,
422201012,1993,2,,,30,
